Bin       # of entries
——————————————————————————————
1         1901
2         330
3         342
4         381
5         3224
6         5594
7         6171
8         7587
9         8185
10        7091
11        6032
12        5987
13        5822
14        5305
15        4483
16        3877
17        3390
18        2858
19        2522
20        2185
21        1994
22        1775
23        1545
24        1364
25        1225
26        1000
27        908
28        707
29        590
30        505
31        448
32        410
33        371
34        290
35        300
36        221
37        232
38        193
39        206
40        183
41        150
42        142
43        106
44        113
45        135
46        141
47        92
48        88
49        101
50        76
51        69
52        52
53        60
54        58
55        59
56        58
57        47
58        54
59        37
60        49
61        34
62        42
63        33
64        43
65        33
66        29
67        19
68        24
69        19
70        20
71        22
72        14
73        16
74        26
75        12
76        9
77        11
78        14
79        12
80        8
81        10
82        10
83        9
84        3
85        5
86        5
87        7
88        2
89        8
90        4
91        4
92        6
93        3
94        7
95        1
96        4
97        5
98        4
99        5
100       1
