channel     z-pos[mm]   phi-pos[rad]
0           -190        0.0174375   
1           -186        0.0174375   
2           -182        0.0174375   
3           -178        0.0174375   
4           -174        0.0174375   
5           -170        0.0174375   
6           -166        0.0174375   
7           -162        0.0174375   
8           -158        0.0174375   
9           -154        0.0174375   
10          -150        0.0174375   
11          -146        0.0174375   
12          -142        0.0174375   
13          -138        0.0174375   
14          -134        0.0174375   
15          -130        0.0174375   
16          -126        0.0174375   
17          -122        0.0174375   
18          -118        0.0174375   
19          -114        0.0174375   
20          -110        0.0174375   
21          -106        0.0174375   
22          -102        0.0174375   
23          -98         0.0174375   
24          -94         0.0174375   
25          -90         0.0174375   
26          -86         0.0174375   
27          -82         0.0174375   
28          -78         0.0174375   
29          -74         0.0174375   
30          -70         0.0174375   
31          -66         0.0174375   
32          -62         0.0174375   
33          -58         0.0174375   
34          -54         0.0174375   
35          -50         0.0174375   
36          -46         0.0174375   
37          -42         0.0174375   
38          -38         0.0174375   
39          -34         0.0174375   
40          -30         0.0174375   
41          -26         0.0174375   
42          -22         0.0174375   
43          -18         0.0174375   
44          -14         0.0174375   
45          -10         0.0174375   
46          -6          0.0174375   
47          -2          0.0174375   
48          2           0.0174375   
49          6           0.0174375   
50          10          0.0174375   
51          14          0.0174375   
52          18          0.0174375   
53          22          0.0174375   
54          26          0.0174375   
55          30          0.0174375   
56          34          0.0174375   
57          38          0.0174375   
58          42          0.0174375   
59          46          0.0174375   
60          50          0.0174375   
61          54          0.0174375   
62          58          0.0174375   
63          62          0.0174375   
64          66          0.0174375   
65          70          0.0174375   
66          74          0.0174375   
67          78          0.0174375   
68          82          0.0174375   
69          86          0.0174375   
70          90          0.0174375   
71          94          0.0174375   
72          98          0.0174375   
73          102         0.0174375   
74          106         0.0174375   
75          110         0.0174375   
76          114         0.0174375   
77          118         0.0174375   
78          122         0.0174375   
79          126         0.0174375   
80          130         0.0174375   
81          134         0.0174375   
82          138         0.0174375   
83          142         0.0174375   
84          146         0.0174375   
85          150         0.0174375   
86          154         0.0174375   
87          158         0.0174375   
88          162         0.0174375   
89          166         0.0174375   
90          170         0.0174375   
91          174         0.0174375   
92          178         0.0174375   
93          182         0.0174375   
94          186         0.0174375   
95          190         0.0174375   
96          -191        0.0523125   
97          -187        0.0523125   
98          -183        0.0523125   
99          -179        0.0523125   
100         -175        0.0523125   
101         -171        0.0523125   
102         -167        0.0523125   
103         -163        0.0523125   
104         -159        0.0523125   
105         -155        0.0523125   
106         -151        0.0523125   
107         -147        0.0523125   
108         -143        0.0523125   
109         -139        0.0523125   
110         -135        0.0523125   
111         -131        0.0523125   
112         -127        0.0523125   
113         -123        0.0523125   
114         -119        0.0523125   
115         -115        0.0523125   
116         -111        0.0523125   
117         -107        0.0523125   
118         -103        0.0523125   
119         -99         0.0523125   
120         -95         0.0523125   
121         -91         0.0523125   
122         -87         0.0523125   
123         -83         0.0523125   
124         -79         0.0523125   
125         -75         0.0523125   
126         -71         0.0523125   
127         -67         0.0523125   
128         -63         0.0523125   
129         -59         0.0523125   
130         -55         0.0523125   
131         -51         0.0523125   
132         -47         0.0523125   
133         -43         0.0523125   
134         -39         0.0523125   
135         -35         0.0523125   
136         -31         0.0523125   
137         -27         0.0523125   
138         -23         0.0523125   
139         -19         0.0523125   
140         -15         0.0523125   
141         -11         0.0523125   
142         -7          0.0523125   
143         -3          0.0523125   
144         1           0.0523125   
145         5           0.0523125   
146         9           0.0523125   
147         13          0.0523125   
148         17          0.0523125   
149         21          0.0523125   
150         25          0.0523125   
151         29          0.0523125   
152         33          0.0523125   
153         37          0.0523125   
154         41          0.0523125   
155         45          0.0523125   
156         49          0.0523125   
157         53          0.0523125   
158         57          0.0523125   
159         61          0.0523125   
160         65          0.0523125   
161         69          0.0523125   
162         73          0.0523125   
163         77          0.0523125   
164         81          0.0523125   
165         85          0.0523125   
166         89          0.0523125   
167         93          0.0523125   
168         97          0.0523125   
169         101         0.0523125   
170         105         0.0523125   
171         109         0.0523125   
172         113         0.0523125   
173         117         0.0523125   
174         121         0.0523125   
175         125         0.0523125   
176         129         0.0523125   
177         133         0.0523125   
178         137         0.0523125   
179         141         0.0523125   
180         145         0.0523125   
181         149         0.0523125   
182         153         0.0523125   
183         157         0.0523125   
184         161         0.0523125   
185         165         0.0523125   
186         169         0.0523125   
187         173         0.0523125   
